"Genus","Species","Authority","Subspecies","Variety","Status","AccGenus","AccSpecies","AccAuthority","AccSubspecies","AccVariety","AccID"
"Physalis","chenopodifolia","Lam.","","","Syn","Physalis","peruviana","L.","","","kew-2549655"
"Physalis","esculenta","Salisb.","","","Syn","Physalis","peruviana","L.","","","kew-2549655"
"Physalis","latifolia","Lam.","","","Syn","Physalis","peruviana","L.","","","kew-2549655"
"Physalis","peruviana","L.","","","Acc","Physalis","peruviana","L.","","","kew-2549655"
"Physalis","peruviana","(Lam.) Dunal","","latifolia","Syn","Physalis","peruviana","L.","","","kew-2549655"
"Physalis","puberula","Fernald","","","Syn","Physalis","peruviana","L.","","","kew-2549655"
"Physalis","tomentosa","Medik.","","","Syn","Physalis","peruviana","L.","","","kew-2549655"
"Solanum","mazatenangense","J.M.Coult. & Donn.Sm.","","","syn","Solanum","wendlandii","Hook.f.","","","ss-6306"
"Solanum","tlacotalpense","Sesse & Moc.","","","syn","Solanum","wendlandii","Hook.f.","","","ss-6306"
"Solanum","unguis-cati","Standl.","","","syn","Solanum","wendlandii","Hook.f.","","","ss-6306"
"Solanum","wendlandii","Hook.f.","","","acc","Solanum","wendlandii","Hook.f.","","","ss-6306"
"Solanum","whalenii","M.Nee","","","acc","Solanum","whalenii","M.Nee","","","ss-6308"